right,5,5,ClassDecl,Comperators,,4
right,5,6,Modifiers,,,5
right,5,7,List,,,6
right,5,8,Opt,,,5
right,5,9,List,,,5
right,5,10,List,,,5
right,11,11,MethodDecl,foo,,10
right,11,12,Modifiers,,,11
right,11,13,List,,,12
right,11,14,TypeAccess,Integer,,11
right,11,15,List,,,11
right,11,16,List,,,11
right,11,17,Opt,,,11
right,11,18,Block,,,17
right,11,19,List,,,18
right,11,20,VarDeclStmt,,,19
right,11,21,Modifiers,,,20
right,11,22,List,,,21
right,11,23,TypeAccess,Integer,,20
right,11,24,List,,,20
right,11,25,VariableDeclarator,x,,24
right,11,26,List,,,25
right,11,27,Opt,,,25
right,11,28,VariableDeclarator,y,,24
right,11,29,List,,,28
right,11,30,Opt,,,28
right,11,31,VariableDeclarator,z,,24
right,11,32,List,,,31
right,11,33,Opt,,,31
right,11,34,ExprStmt,,,19
right,11,35,AssignSimpleExpr,,,34
right,11,36,VarAccess,x,,35
right,11,37,IntegerLiteral,,1,35
right,11,38,ExprStmt,,,19
right,11,39,AssignSimpleExpr,,,38
right,11,40,VarAccess,y,,39
right,11,41,IntegerLiteral,,1,39
right,11,42,IfStmt,,,19
right,11,43,GTExpr,,,42
right,11,44,VarAccess,x,,43
right,11,45,VarAccess,y,,43
right,46,46,Block,,,42
right,46,47,List,,,46
right,46,48,IfStmt,,,47
right,46,49,GEExpr,,,48
right,46,50,VarAccess,x,,49
right,46,51,VarAccess,y,,49
right,52,52,Block,,,48
right,52,53,List,,,52
right,52,54,IfStmt,,,53
right,52,55,EQExpr,,,54
right,52,56,VarAccess,x,,55
right,52,57,VarAccess,y,,55
right,58,58,Block,,,54
right,58,59,List,,,58
right,58,60,IfStmt,,,59
right,58,61,LTExpr,,,60
right,58,62,VarAccess,x,,61
right,58,63,VarAccess,y,,61
right,64,64,Block,,,60
right,64,65,List,,,64
right,64,66,IfStmt,,,65
right,64,67,LEExpr,,,66
right,64,68,VarAccess,x,,67
right,64,69,VarAccess,y,,67
right,70,70,Block,,,66
right,70,71,List,,,70
right,70,72,IfStmt,,,71
right,70,73,NEExpr,,,72
right,70,74,VarAccess,x,,73
right,70,75,VarAccess,y,,73
right,76,76,Block,,,72
right,76,77,List,,,76
right,76,78,BreakStmt,,,77
right,79,79,Opt,,,72
right,80,80,Opt,,,66
right,81,81,Opt,,,60
right,82,82,Opt,,,54
right,83,83,Opt,,,48
right,84,84,Opt,,,42
right,85,85,VarDeclStmt,,,19
right,85,86,Modifiers,,,85
right,85,87,List,,,86
right,85,88,PrimitiveTypeAccess,boolean,,85
right,85,89,List,,,85
right,85,90,VariableDeclarator,a,,89
right,85,91,List,,,90
right,85,92,Opt,,,90
right,85,94,ExprStmt,,,19
right,85,95,AssignSimpleExpr,,,94
right,85,96,VarAccess,a,,95
right,85,97,BooleanLiteral,,true,95
right,85,98,VarDeclStmt,,,19
right,85,99,Modifiers,,,98
right,85,100,List,,,99
right,85,101,PrimitiveTypeAccess,boolean,,98
right,85,102,List,,,98
right,85,103,VariableDeclarator,b,,102
right,85,104,List,,,103
right,85,105,Opt,,,103
right,85,107,ExprStmt,,,19
right,85,108,AssignSimpleExpr,,,107
right,85,109,VarAccess,b,,108
right,85,110,VarAccess,a,,108
right,85,111,IfStmt,,,19
right,85,112,VarAccess,a,,111
right,113,113,Block,,,111
right,113,114,List,,,113
right,113,115,IfStmt,,,114
right,113,116,LogNotExpr,,,115
right,113,117,VarAccess,a,,116
right,118,118,Block,,,115
right,118,119,List,,,118
right,118,120,IfStmt,,,119
right,118,121,AndLogicalExpr,,,120
right,118,122,VarAccess,a,,121
right,118,123,VarAccess,b,,121
right,124,124,Block,,,120
right,124,125,List,,,124
right,124,126,IfStmt,,,125
right,124,127,OrLogicalExpr,,,126
right,124,128,VarAccess,a,,127
right,124,129,VarAccess,b,,127
right,130,130,Block,,,126
right,130,131,List,,,130
right,130,132,IfStmt,,,131
right,130,133,AndLogicalExpr,,,132
right,130,134,LogNotExpr,,,133
right,130,135,VarAccess,a,,134
right,130,136,VarAccess,b,,133
right,137,137,Block,,,132
right,137,138,List,,,137
right,137,139,BreakStmt,,,138
right,140,140,Opt,,,132
right,141,141,Opt,,,126
right,142,142,Opt,,,120
right,143,143,Opt,,,115
right,144,144,Opt,,,111
right,145,145,WhileStmt,,,19
right,145,146,VarAccess,a,,145
right,147,147,Block,,,145
right,147,148,List,,,147
right,147,149,BreakStmt,,,148
