right,0,Program,,,-1
right,1,List,,,0
right,2,CompilationUnit,,,1
right,3,List,,,2
right,4,List,,,2
right,5,ClassDecl,ForLoop,,4
right,6,Modifiers,,,5
right,7,List,,,6
right,8,Opt,,,5
right,9,List,,,5
right,10,List,,,5
right,11,MethodDecl,foo,,10
right,12,Modifiers,,,11
right,13,List,,,12
right,14,PrimitiveTypeAccess,void,,11
right,15,List,,,11
right,16,List,,,11
right,17,Opt,,,11
right,18,Block,,,17
right,19,List,,,18
right,20,VarDeclStmt,,,19
right,21,Modifiers,,,20
right,22,List,,,21
right,23,PrimitiveTypeAccess,int,,20
right,24,List,,,20
right,25,VariableDeclarator,a,,24
right,26,List,,,25
right,27,Opt,,,25
right,28,IntegerLiteral,,1,27
right,29,VarDeclStmt,,,19
right,30,Modifiers,,,29
right,31,List,,,30
right,32,PrimitiveTypeAccess,int,,29
right,33,List,,,29
right,34,VariableDeclarator,b,,33
right,35,List,,,34
right,36,Opt,,,34
right,37,IntegerLiteral,,3,36
right,38,ExprStmt,,,19
right,39,AssignSimpleExpr,,,38
right,40,VarAccess,a,,39
right,41,IntegerLiteral,,5,39
right,42,VarDeclStmt,,,19
right,43,Modifiers,,,42
right,44,List,,,43
right,45,PrimitiveTypeAccess,int,,42
right,46,List,,,42
right,47,VariableDeclarator,c,,46
right,48,List,,,47
right,49,Opt,,,47
right,50,AddExpr,,,49
right,51,VarAccess,a,,50
right,52,VarAccess,b,,50
right,62,VarDeclStmt,,,19
right,63,Modifiers,,,62
right,64,List,,,63
right,65,PrimitiveTypeAccess,int,,62
right,66,List,,,62
right,67,VariableDeclarator,k,,66
right,68,List,,,67
right,69,Opt,,,67
right,70,IntegerLiteral,,7,69
right,80,IfStmt,,,19
right,81,GTExpr,,,80
right,82,VarAccess,a,,81
right,83,IntegerLiteral,,1,81
right,84,Block,,,80
right,85,List,,,84
right,86,ExprStmt,,,85
right,87,AssignSimpleExpr,,,86
right,88,VarAccess,b,,87
right,89,VarAccess,a,,87
right,90,Opt,,,80
right,91,Block,,,90
right,92,List,,,91
right,93,ExprStmt,,,92
right,94,AssignSimpleExpr,,,93
right,95,VarAccess,b,,94
right,96,VarAccess,c,,94
right,97,VarDeclStmt,,,19
right,98,Modifiers,,,97
right,99,List,,,98
right,100,PrimitiveTypeAccess,int,,97
right,101,List,,,97
right,102,VariableDeclarator,j,,101
right,103,List,,,102
right,104,Opt,,,102
right,105,AddExpr,,,104
right,106,VarAccess,b,,105
right,107,VarAccess,c,,105
right,108,MethodDecl,fox,,10
right,109,Modifiers,,,108
right,110,List,,,109
right,111,PrimitiveTypeAccess,void,,108
right,112,List,,,108
right,113,List,,,108
right,114,Opt,,,108
right,115,Block,,,114
right,116,List,,,115
right,117,IfStmt,,,116
right,118,GTExpr,,,117
right,119,VarAccess,a,,118
right,120,IntegerLiteral,,1,118
right,121,Block,,,117
right,122,List,,,121
right,123,VarDeclStmt,,,122
right,124,Modifiers,,,123
right,125,List,,,124
right,126,PrimitiveTypeAccess,int,,123
right,127,List,,,123
right,128,VariableDeclarator,a,,127
right,129,List,,,128
right,130,Opt,,,128
right,131,IntegerLiteral,,1,130
right,132,VarDeclStmt,,,122
right,133,Modifiers,,,132
right,134,List,,,133
right,135,PrimitiveTypeAccess,int,,132
right,136,List,,,132
right,137,VariableDeclarator,b,,136
right,138,List,,,137
right,139,Opt,,,137
right,140,IntegerLiteral,,3,139
right,141,VarDeclStmt,,,122
right,142,Modifiers,,,141
right,143,List,,,142
right,144,PrimitiveTypeAccess,int,,141
right,145,List,,,141
right,146,VariableDeclarator,c,,145
right,147,List,,,146
right,148,Opt,,,146
right,149,AddExpr,,,148
right,150,VarAccess,a,,149
right,151,VarAccess,b,,149
right,152,VarDeclStmt,,,122
right,153,Modifiers,,,152
right,154,List,,,153
right,155,PrimitiveTypeAccess,int,,152
right,156,List,,,152
right,157,VariableDeclarator,k,,156
right,158,List,,,157
right,159,Opt,,,157
right,160,IntegerLiteral,,7,159
right,161,ExprStmt,,,122
right,162,AssignSimpleExpr,,,161
right,163,VarAccess,b,,162
right,164,VarAccess,a,,162
right,165,Opt,,,117
right,166,VarDeclStmt,,,116
right,167,Modifiers,,,166
right,168,List,,,167
right,169,PrimitiveTypeAccess,int,,166
right,170,List,,,166
right,171,VariableDeclarator,i,,170
right,172,List,,,171
right,173,Opt,,,171
right,174,IntegerLiteral,,1,173
