11,11,MethodDecl,foo,,10
11,12,Modifiers,,,11
11,13,List,,,12
11,14,PrimitiveTypeAccess,void,,11
11,15,List,,,11
11,16,List,,,11
11,17,Opt,,,11
11,18,Block,,,17
11,19,List,,,18
11,20,VarDeclStmt,,,19
11,21,Modifiers,,,20
11,22,List,,,21
11,23,PrimitiveTypeAccess,int,,20
11,24,List,,,20
11,25,VariableDeclarator,a,,24
11,26,List,,,25
11,27,Opt,,,25
11,28,VarDeclStmt,,,19
11,29,Modifiers,,,28
11,30,List,,,29
11,31,PrimitiveTypeAccess,int,,28
11,32,List,,,28
11,33,VariableDeclarator,b,,32
11,34,List,,,33
11,35,Opt,,,33
11,36,ExprStmt,,,19
11,37,AssignSimpleExpr,,,36
11,38,VarAccess,a,,37
11,39,IntegerLiteral,,1,37
11,40,IfStmt,,,19
11,41,EQExpr,,,40
11,42,VarAccess,a,,41
11,43,IntegerLiteral,,1,41
44,44,Block,,,40
44,45,List,,,44
44,46,ExprStmt,,,45
44,47,AssignSimpleExpr,,,46
44,48,VarAccess,b,,47
44,49,IntegerLiteral,,2,47
50,50,Opt,,,40
50,51,Block,,,50
50,52,List,,,51
50,53,ExprStmt,,,52
50,54,AssignSimpleExpr,,,53
50,55,VarAccess,b,,54
50,56,IntegerLiteral,,3,54
57,57,VarDeclStmt,,,19
57,58,Modifiers,,,57
57,59,List,,,58
57,60,PrimitiveTypeAccess,int,,57
57,61,List,,,57
57,62,VariableDeclarator,c,,61
57,63,List,,,62
57,64,Opt,,,62
57,65,IntegerLiteral,,5,64
