0,Program,,,-1
1,List,,,0
2,CompilationUnit,,,1
3,List,,,2
4,List,,,2
5,ClassDecl,DeletionInsertion,,4
6,Modifiers,,,5
7,List,,,6
8,Opt,,,5
9,List,,,5
10,List,,,5
11,MethodDecl,foo,,10
12,Modifiers,,,11
13,List,,,12
14,PrimitiveTypeAccess,void,,11
15,List,,,11
16,List,,,11
17,Opt,,,11
18,Block,,,17
19,List,,,18
20,VarDeclStmt,,,19
21,Modifiers,,,20
22,List,,,21
23,PrimitiveTypeAccess,int,,20
24,List,,,20
25,VariableDeclarator,a,,24
26,List,,,25
27,Opt,,,25
28,VarDeclStmt,,,19
29,Modifiers,,,28
30,List,,,29
31,PrimitiveTypeAccess,int,,28
32,List,,,28
33,VariableDeclarator,b,,32
34,List,,,33
35,Opt,,,33
36,ExprStmt,,,19
37,AssignSimpleExpr,,,36
38,VarAccess,a,,37
39,IntegerLiteral,,1,37
40,IfStmt,,,19
41,EQExpr,,,40
42,VarAccess,a,,41
43,IntegerLiteral,,1,41
44,Block,,,40
45,List,,,44
46,ExprStmt,,,45
47,AssignSimpleExpr,,,46
48,VarAccess,b,,47
49,IntegerLiteral,,2,47
50,Opt,,,40
51,Block,,,50
52,List,,,51
53,ExprStmt,,,52
54,AssignSimpleExpr,,,53
55,VarAccess,b,,54
56,IntegerLiteral,,3,54
57,VarDeclStmt,,,19
58,Modifiers,,,57
59,List,,,58
60,PrimitiveTypeAccess,int,,57
61,List,,,57
62,VariableDeclarator,c,,61
63,List,,,62
64,Opt,,,62
65,IntegerLiteral,,5,64
