0,Program,,,-1
1,List,,,0
2,CompilationUnit,,,1
3,List,,,2
4,List,,,2
5,ClassDecl,ForLoop,,4
6,Modifiers,,,5
7,List,,,6
8,Opt,,,5
9,List,,,5
10,List,,,5
11,MethodDecl,foo,,10
12,Modifiers,,,11
13,List,,,12
14,PrimitiveTypeAccess,void,,11
15,List,,,11
16,List,,,11
17,Opt,,,11
18,Block,,,17
19,List,,,18
20,VarDeclStmt,,,19
21,Modifiers,,,20
22,List,,,21
23,PrimitiveTypeAccess,int,,20
24,List,,,20
25,VariableDeclarator,a,,24
26,List,,,25
27,Opt,,,25
28,IntegerLiteral,,1,27
29,VarDeclStmt,,,19
30,Modifiers,,,29
31,List,,,30
32,PrimitiveTypeAccess,int,,29
33,List,,,29
34,VariableDeclarator,b,,33
35,List,,,34
36,Opt,,,34
37,VarDeclStmt,,,19
38,Modifiers,,,37
39,List,,,38
40,PrimitiveTypeAccess,int,,37
41,List,,,37
42,VariableDeclarator,c,,41
43,List,,,42
44,Opt,,,42
45,AddExpr,,,44
46,VarAccess,a,,45
47,VarAccess,b,,45
48,VarDeclStmt,,,19
49,Modifiers,,,48
50,List,,,49
51,TypeAccess,DeletionInsertion,,48
52,List,,,48
53,VariableDeclarator,d,,52
54,List,,,53
55,Opt,,,53
56,ClassInstanceExpr,,,55
57,TypeAccess,DeletionInsertion,,56
58,List,,,56
59,Opt,,,56
60,ExprStmt,,,19
61,AssignSimpleExpr,,,60
62,Dot,,,61
63,VarAccess,d,,62
64,VarAccess,b,,62
65,VarAccess,c,,61
66,ExprStmt,,,19
67,AssignSimpleExpr,,,66
68,VarAccess,c,,67
69,AddExpr,,,67
70,VarAccess,a,,69
71,VarAccess,b,,69
72,WhileStmt,,,19
73,BooleanLiteral,,true,72
74,Block,,,72
75,List,,,74
76,ExprStmt,,,75
77,AssignSimpleExpr,,,76
78,VarAccess,b,,77
79,IntegerLiteral,,5,77
80,BreakStmt,,,75
81,ForStmt,,,19
82,List,,,81
83,VarDeclStmt,,,82
84,Modifiers,,,83
85,List,,,84
86,PrimitiveTypeAccess,int,,83
87,List,,,83
88,VariableDeclarator,j,,87
89,List,,,88
90,Opt,,,88
91,IntegerLiteral,,0,90
92,Opt,,,81
93,LTExpr,,,92
94,VarAccess,j,,93
95,IntegerLiteral,,2,93
96,List,,,81
97,ExprStmt,,,96
98,AssignPlusExpr,,,97
99,VarAccess,j,,98
100,IntegerLiteral,,1,98
101,Block,,,81
102,List,,,101
103,ExprStmt,,,102
104,AssignPlusExpr,,,103
105,VarAccess,b,,104
106,IntegerLiteral,,1,104
107,ExprStmt,,,19
108,AssignSimpleExpr,,,107
109,VarAccess,b,,108
110,IntegerLiteral,,0,108
111,ClassDecl,DeletionInsertion,,4
112,Modifiers,,,111
113,List,,,112
114,Opt,,,111
115,List,,,111
116,List,,,111
117,FieldDecl,,,116
118,Modifiers,,,117
119,List,,,118
120,PrimitiveTypeAccess,int,,117
121,List,,,117
122,FieldDeclarator,b,,121
123,List,,,122
124,Opt,,,122
125,MethodDecl,foo,,116
126,Modifiers,,,125
127,List,,,126
128,PrimitiveTypeAccess,void,,125
129,List,,,125
130,List,,,125
131,Opt,,,125
132,Block,,,131
133,List,,,132
134,VarDeclStmt,,,133
135,Modifiers,,,134
136,List,,,135
137,PrimitiveTypeAccess,int,,134
138,List,,,134
139,VariableDeclarator,a,,138
140,List,,,139
141,Opt,,,139
142,VarDeclStmt,,,133
143,Modifiers,,,142
144,List,,,143
145,PrimitiveTypeAccess,int,,142
146,List,,,142
147,VariableDeclarator,b,,146
148,List,,,147
149,Opt,,,147
150,ExprStmt,,,133
151,AssignSimpleExpr,,,150
152,VarAccess,a,,151
153,IntegerLiteral,,1,151
154,IfStmt,,,133
155,EQExpr,,,154
156,VarAccess,a,,155
157,IntegerLiteral,,1,155
158,Block,,,154
159,List,,,158
160,ExprStmt,,,159
161,AssignSimpleExpr,,,160
162,VarAccess,b,,161
163,VarAccess,a,,161
164,Opt,,,154
165,VarDeclStmt,,,133
166,Modifiers,,,165
167,List,,,166
168,PrimitiveTypeAccess,int,,165
169,List,,,165
170,VariableDeclarator,c,,169
171,List,,,170
172,Opt,,,170
173,MulExpr,,,172
174,VarAccess,a,,173
175,VarAccess,a,,173

