0,Program,,,-1
1,List,,,0
2,CompilationUnit,,,1
3,List,,,2
4,List,,,2
5,ClassDecl,DeletionInsertion,,4
6,Modifiers,,,5
7,List,,,6
8,Opt,,,5
9,List,,,5
10,List,,,5
11,MethodDecl,foo,,10
12,Modifiers,,,11
13,List,,,12
14,PrimitiveTypeAccess,void,,11
15,List,,,11
16,List,,,11
17,Opt,,,11
18,Block,,,17
19,List,,,18
20,VarDeclStmt,,,19
21,Modifiers,,,20
22,List,,,21
23,PrimitiveTypeAccess,int,,20
24,List,,,20
25,VariableDeclarator,a,,24
26,List,,,25
27,Opt,,,25
28,VarDeclStmt,,,19
29,Modifiers,,,28
30,List,,,29
31,PrimitiveTypeAccess,int,,28
32,List,,,28
33,VariableDeclarator,b,,32
34,List,,,33
35,Opt,,,33
36,ExprStmt,,,19
37,AssignSimpleExpr,,,36
38,VarAccess,a,,37
39,IntegerLiteral,,1,37
40,IfStmt,,,19
41,EQExpr,,,40
42,VarAccess,a,,41
43,IntegerLiteral,,0,41
44,Block,,,40
45,List,,,44
46,ExprStmt,,,45
47,AssignSimpleExpr,,,46
48,VarAccess,b,,47
49,IntegerLiteral,,1,47
50,IfStmt,,,45
51,EQExpr,,,50
52,VarAccess,a,,51
53,IntegerLiteral,,1,51
54,Block,,,50
55,List,,,54
56,ExprStmt,,,55
57,AssignSimpleExpr,,,56
58,VarAccess,b,,57
59,IntegerLiteral,,2,57
60,Opt,,,50
61,Block,,,60
62,List,,,61
63,ExprStmt,,,62
64,AssignSimpleExpr,,,63
65,VarAccess,b,,64
66,IntegerLiteral,,2,64
67,ExprStmt,,,45
68,AssignSimpleExpr,,,67
69,VarAccess,b,,68
70,IntegerLiteral,,1,68
71,Opt,,,40
72,Block,,,71
73,List,,,72
74,ExprStmt,,,73
75,AssignSimpleExpr,,,74
76,VarAccess,b,,75
77,IntegerLiteral,,5,75
78,VarDeclStmt,,,19
79,Modifiers,,,78
80,List,,,79
81,PrimitiveTypeAccess,int,,78
82,List,,,78
83,VariableDeclarator,c,,82
84,List,,,83
85,Opt,,,83
86,IntegerLiteral,,5,85

